CATEGORY,SUBCATEGORY,NAME,DESCRIPTION,PROJECT,DELTA_OWNER,HOMEPAGE_URL,STOCK_TICKER,LOGO,OPEN_SOURCE,CRUNCHBASE
DevOps Services and Tools,Product Management,iServer,Application Portfolio Management tool,standard,Kim Prindle,https://iserver.delta.com/,,dynatrace.svg,false,https://www.crunchbase.com/organization/orbus-software
DevOps Services and Tools,Product Management,Service Now (CMDB),Software platform which supports IT Service Management (ITSM). It helps you to automate IT Business Management (ITBM).,standard,Kimberly Owens,https://deltasn.service-now.com/sp,NOW,dynatrace.svg,false,https://www.crunchbase.com/organization/service-now-com
DevOps Services and Tools,Source Code Repository,GitLab,Web-based open source Git repository manager with wiki and issue tracking features and built-in CI/CD.,standard,Jesse Duke,https://git.delta.com/,,gitlab.svg,true,https://www.crunchbase.com/organization/gitlab-com
Platform as a Service (PaaS),PaaS Application Runtimes,NGINX,"Web server which can also be used as a reverse proxy, load balancer, mail proxy and HTTP cache.",standard,Mauricio Lora,https://www.nginx.com/,,nginx.svg,false,https://www.crunchbase.com/organization/nginx
